Section,Element,Ca me nourrit (N),C'est important (I),Ca attire mon attention (A),Pas pour moi (P)
FAITS,"Analyser : manipuler données, chiffres, concepts",,,,X
FAITS,"Manipuler : technique, outils, machines, nature",,X,,
FAITS,"Rechercher : approfondir, analyser, expertise",,X,,
FAITS,Solutionner : résoudre des problèmes complexes,,X,,
FAITS,"Bouger : activité corporelle, mise en action concrète",,X,,
FAITS,"Mesurer : quantifier, produire des indicateurs, comparer",,,,X
FAITS,"Tester : expérimenter, valider par l’essai-erreur",X,,,
FAITS,"Vérifier : contrôler la validité, fiabilité",,,X,
FAITS,Installer / assembler : mise en œuvre concrète,,X,,
IDEES,"Créer : produire, imaginer, concevoir",X,,,
IDEES,Exprimer ma singularité et ma personnalité,X,,,
IDEES,"Embellir : esthétique, expression créative",,X,,
IDEES,"Conceptualiser : modéliser, donner du sens",,X,,
IDEES,"Imaginer des futurs : projection, vision",X,,,
IDEES,"Réinventer : transformer, proposer autre chose",X,,,
IDEES,Synthétiser : relier des idées,X,,,
IDEES,Explorer : chercher de nouvelles pistes créatives,X,,,
