numero,intitule
1,"Mode, Design & Esthétique"
2,"Culture, Média & Communication"
3,Technologie & Numérique
4,Industrie & Ingénierie
5,Production & Artisanat
6,Transport & Logistique
7,Construction & Immobilier
8,Commerce & Distribution
9,Banque & Finance
10,Santé & Paramédical
11,Éducation & Formation
12,Public & Institutions
13,Tourisme & Hôtellerie
14,Services aux Entreprises
15,Sport & Loisirs
16,Service aux Personnes
17,Environnement & Nature
18,Énergie & Transition
19,Agriculture & Alimentation durable
20,Inclusion & Égalité
21,Habitat & Villes durables
22,Travail décent & Impact social
23,Humanitaire & Coopération
24,Science & Développement durable
25,IA & Data éthique
26,Économie circulaire
27,Bien-être & développement
28,Silver economy
29,Maker culture & DIY
30,Création digitale & nouveaux médias
31,Freelancing & indépendants
32,Robotique & automatisation
33,Slow life & modes de vie alternatifs
34,Médiation & intelligence collective
35,Économie sociale & solidaire
36,Reconnexion au vivant
37,Gamification & design d’expérience
38,Sciences humaines
39,Arts visuels / vivants / narratifs / sonores
