anecdoteId,competenceId,groupe,sourceCell
C001_SHEET_1,AMELIORER,RESULTAT,C001:1:R5C8
C001_SHEET_1,ASSURER_LA_DIRECTION,RESULTAT,C001:1:R5C9
C001_SHEET_1,DISCUTER,RESULTAT,C001:1:R5C10
C001_SHEET_1,AMELIORER,RESULTAT,C001:1:R6C4
C001_SHEET_1,ANTICIPER,PLAISIR,C001:1:R6C7
C001_SHEET_1,CONDUIRE,RESULTAT,C001:1:R6C9
C001_SHEET_1,ECHANGER,PLAISIR,C001:1:R6C10
C001_SHEET_1,APPRENDRE,PLAISIR,C001:1:R6C11
C001_SHEET_1,CONFIER,RESULTAT,C001:1:R7C9
C001_SHEET_1,ECOUTER,PLAISIR,C001:1:R7C10
C001_SHEET_1,CONSULTER,RESULTAT,C001:1:R9C8
C001_SHEET_1,EXAMINER,RESULTAT,C001:1:R12C3
C001_SHEET_1,COORDONNER,RESULTAT,C001:1:R12C7
C001_SHEET_1,ETUDIER,RESULTAT,C001:1:R12C8
C001_SHEET_1,ELIMINER,RESULTAT,C001:1:R12C12
C001_SHEET_1,INFORMER,MAITRISE,C001:1:R12C14
C001_SHEET_1,ELABORER,RESULTAT,C001:1:R13C6
C001_SHEET_1,PRESENTER,RESULTAT,C001:1:R14C10
C001_SHEET_1,REDIGER,MAITRISE,C001:1:R15C10
C001_SHEET_1,PROMOUVOIR,RESULTAT,C001:1:R16C14
C001_SHEET_1,OPTIMISER,RESULTAT,C001:1:R17C4
C001_SHEET_1,PROSPECTER,RESULTAT,C001:1:R17C8
C001_SHEET_1,RECHERCHER,RESULTAT,C001:1:R18C8
C001_SHEET_1,TESTER,MAITRISE,C001:1:R20C3
C001_SHEET_1,TRANSFORMER,RESULTAT,C001:1:R20C8
C001_SHEET_1,PILOTER,RESULTAT,C001:1:R20C9
C001_SHEET_1,VALIDER,MAITRISE,C001:1:R21C3
C001_SHEET_1,PRECONISER,RESULTAT,C001:1:R21C5
C001_SHEET_1,TRANCHER,RESULTAT,C001:1:R21C12
C001_SHEET_1,VERIFIER,MAITRISE,C001:1:R22C3
C001_SHEET_1,PLANIFIER,RESULTAT,C001:1:R22C7
C001_SHEET_1,RECOMMANDER,RESULTAT,C001:1:R23C5
C001_SHEET_1,METTRE_EN_PLACE,RESULTAT,C001:1:R23C6
C001_SHEET_1,PREVOIR,MAITRISE,C001:1:R24C7
C001_SHEET_1,SUPERVISER,PLAISIR,C001:1:R29C7
C001_SHEET_2,ADAPTER,MAITRISE,C001:2:R4C8
C001_SHEET_2,ASSISTER,MAITRISE,C001:2:R6C5
C001_SHEET_2,ANTICIPER,PLAISIR,C001:2:R6C7
C001_SHEET_2,CONDUIRE,MAITRISE,C001:2:R6C9
C001_SHEET_2,ECHANGER,PLAISIR,C001:2:R6C10
C001_SHEET_2,APPRENDRE,MAITRISE,C001:2:R6C11
