offreId,numero,domaine,confiance,sourceMethod,evidence
OFF_001,3,Technologie & Numérique,0.95,keyword_scoring,hits=9
OFF_001,27,Bien-être & développement,0.95,keyword_scoring,hits=4
OFF_002,3,Technologie & Numérique,0.95,keyword_scoring,hits=5
OFF_002,14,Services aux Entreprises,0.95,keyword_scoring,hits=4
OFF_003,11,Éducation & Formation,0.95,keyword_scoring,hits=8
OFF_003,2,"Culture, Média & Communication",0.95,keyword_scoring,hits=4
OFF_004,10,Santé & Paramédical,0.95,keyword_scoring,hits=6
OFF_004,3,Technologie & Numérique,0.95,keyword_scoring,hits=4
OFF_005,24,Science & Développement durable,0.95,keyword_scoring,hits=7
OFF_005,11,Éducation & Formation,0.95,keyword_scoring,hits=5
OFF_006,14,Services aux Entreprises,0.95,keyword_scoring,hits=8
OFF_006,9,Banque & Finance,0.95,keyword_scoring,hits=5
OFF_007,14,Services aux Entreprises,0.95,keyword_scoring,hits=8
OFF_007,3,Technologie & Numérique,0.95,keyword_scoring,hits=4
OFF_008,14,Services aux Entreprises,0.95,keyword_scoring,hits=8
OFF_008,27,Bien-être & développement,0.95,keyword_scoring,hits=5
OFF_009,22,Travail décent & Impact social,0.95,keyword_scoring,hits=4
OFF_009,11,Éducation & Formation,0.8,keyword_scoring,hits=3
OFF_010,22,Travail décent & Impact social,0.95,keyword_scoring,hits=5
OFF_010,11,Éducation & Formation,0.95,keyword_scoring,hits=5
OFF_011,9,Banque & Finance,0.95,keyword_scoring,hits=7
OFF_011,3,Technologie & Numérique,0.95,keyword_scoring,hits=7
OFF_012,4,Industrie & Ingénierie,0.95,keyword_scoring,hits=5
OFF_012,3,Technologie & Numérique,0.95,keyword_scoring,hits=5
OFF_013,3,Technologie & Numérique,0.95,keyword_scoring,hits=5
OFF_013,27,Bien-être & développement,0.95,keyword_scoring,hits=4
OFF_014,11,Éducation & Formation,0.95,keyword_scoring,hits=7
OFF_014,22,Travail décent & Impact social,0.95,keyword_scoring,hits=6
OFF_015,4,Industrie & Ingénierie,0.95,keyword_scoring,hits=6
OFF_015,3,Technologie & Numérique,0.95,keyword_scoring,hits=6
OFF_016,3,Technologie & Numérique,0.95,keyword_scoring,hits=4
OFF_016,27,Bien-être & développement,0.8,keyword_scoring,hits=3
OFF_017,22,Travail décent & Impact social,0.8,keyword_scoring,hits=3
OFF_017,4,Industrie & Ingénierie,0.8,keyword_scoring,hits=3
OFF_018,4,Industrie & Ingénierie,0.95,keyword_scoring,hits=7
OFF_018,3,Technologie & Numérique,0.95,keyword_scoring,hits=5
OFF_019,15,Sport & Loisirs,0.95,keyword_scoring,hits=6
OFF_019,27,Bien-être & développement,0.8,keyword_scoring,hits=3
